group_id,gene_id,protein_name,go_bp,go_cc,go_mf,n_exons,mean_expr_gene,sd_expr_gene,cv_expr_gene
OG_00001,FUN_000185,Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (CD antigen CD249),cell migration [GO:0016477]; cell population proliferation [GO:0008283]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]; regulation of blood pressure [GO:0008217]; regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081],cytoplasm [GO:0005737]; extracellular space [GO:0005615]; plasma membrane [GO:0005886],aminopeptidase activity [GO:0004177]; glutamyl aminopeptidase activity [GO:0004230]; metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270],21,165.99285714285713,161.96459781825337,0.9757323333428922
OG_00002,FUN_000189,NA,NA,NA,NA,6,672.5375,162.38590590780964,0.24145256719188096
OG_00003,FUN_000190,NA,NA,NA,NA,2,290.7875,62.13700839676788,0.2136852801333203
OG_00004,FUN_000191,NA,NA,NA,NA,3,1502.125,167.4854863115011,0.11149903390962876
OG_00005,FUN_000192,NA,NA,NA,NA,6,156.05833333333334,49.55058694573321,0.3175132393596404
OG_00006,FUN_000193,NA,NA,NA,NA,4,155.3125,40.68401866826826,0.2619494159727534
OG_00007,FUN_000194,NA,NA,NA,NA,20,113.155,101.0794761561416,0.8932833383954893
OG_00008,FUN_000195,NA,NA,NA,NA,7,19.114285714285714,8.888849020247891,0.4650369442581109
OG_00009,FUN_000197,NA,NA,NA,NA,12,103.12291666666667,145.29178692389283,1.4089185180199308
OG_00010,FUN_000198,NA,NA,NA,NA,4,392.96875,115.62167179894664,0.294226123066902
OG_00011,FUN_000200,Cytoplasmic polyadenylation element-binding protein 1 (CPE-BP1) (CPE-binding protein 1) (CPEB-1),cellular response to amino acid stimulus [GO:0071230]; cellular response to hypoxia [GO:0071456]; cellular response to insulin stimulus [GO:0032869]; mRNA processing [GO:0006397]; negative regulation of cytoplasmic translation [GO:2000766]; regulation of mRNA 3'-end processing [GO:0031440],cytoplasm [GO:0005737]; dendrite [GO:0030425]; membrane [GO:0016020]; nucleus [GO:0005634]; P-body [GO:0000932]; postsynaptic density [GO:0014069]; ribonucleoprotein complex [GO:1990904],"metal ion binding [GO:0046872]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; mRNA regulatory element binding translation repressor activity [GO:0000900]; ribosome binding [GO:0043022]; translation factor activity, RNA binding [GO:0008135]",12,2.1416666666666666,1.5192078278637273,0.7093577406367598
OG_00012,FUN_000202,NA,NA,NA,NA,14,90.05178571428571,73.79995665537456,0.8195279646038937
OG_00013,FUN_000203,NA,NA,NA,NA,6,280.1541666666667,77.8717911323906,0.27796049603304346
OG_00014,FUN_000206,NA,NA,NA,NA,2,430.4375,65.1068568777514,0.1512573994546279
OG_00015,FUN_000208,TELO2-interacting protein 2,positive regulation of DNA damage checkpoint [GO:2000003]; protein stabilization [GO:0050821],nucleus [GO:0005634]; TTT Hsp90 cochaperone complex [GO:0110078],NA,8,30.240625,13.871546787141552,0.458705691008091
