group_id,gene_id,protein_name,go_bp,go_cc,go_mf,n_exons,mean_expr_gene,sd_expr_gene,cv_expr_gene,mean_gbm,species
OG_00001,gene-Peve_00037402,Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (CD antigen CD249),cell migration [GO:0016477]; cell population proliferation [GO:0008283]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]; regulation of blood pressure [GO:0008217]; regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081],cytoplasm [GO:0005737]; extracellular space [GO:0005615]; plasma membrane [GO:0005886],aminopeptidase activity [GO:0004177]; glutamyl aminopeptidase activity [GO:0004230]; metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270],20,120.8315789473684,68.578623376355,0.5675554683120242,2.0825096020378377,Porites evermanni
OG_00005,gene-Peve_00038466,NA,NA,NA,NA,6,27.17105263157895,13.282366520609632,0.4888425450684416,41.491338486216215,Porites evermanni
OG_00007,gene-Peve_00038470,NA,NA,NA,NA,22,33.100478468899524,22.91354862844606,0.6922422178874278,40.41943358702703,Porites evermanni
OG_00008,gene-Peve_00038471,NA,NA,NA,NA,12,6.083333333333333,2.1999586009856027,0.3616370302990032,19.15446285618919,Porites evermanni
OG_00009,gene-Peve_00027182,NA,NA,NA,NA,9,30.230994152046783,18.744744313165725,0.6200505421319933,59.88750348138889,Porites evermanni
OG_00011,gene-Peve_00027179,Cytoplasmic polyadenylation element-binding protein 1 (CPE-BP1) (CPE-binding protein 1) (CPEB-1),cellular response to amino acid stimulus [GO:0071230]; cellular response to hypoxia [GO:0071456]; cellular response to insulin stimulus [GO:0032869]; mRNA processing [GO:0006397]; negative regulation of cytoplasmic translation [GO:2000766]; regulation of mRNA 3'-end processing [GO:0031440],cytoplasm [GO:0005737]; dendrite [GO:0030425]; membrane [GO:0016020]; nucleus [GO:0005634]; P-body [GO:0000932]; postsynaptic density [GO:0014069]; ribonucleoprotein complex [GO:1990904],"metal ion binding [GO:0046872]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; mRNA regulatory element binding translation repressor activity [GO:0000900]; ribosome binding [GO:0043022]; translation factor activity, RNA binding [GO:0008135]",11,10.303827751196172,5.721144186992722,0.5552445484474015,20.04366529153611,Porites evermanni
OG_00015,gene-Peve_00027726,TELO2-interacting protein 2,positive regulation of DNA damage checkpoint [GO:2000003]; protein stabilization [GO:0050821],nucleus [GO:0005634]; TTT Hsp90 cochaperone complex [GO:0110078],NA,14,4.067669172932331,2.232699528771888,0.5488891632655473,30.675269562432433,Porites evermanni
OG_00016,gene-Peve_00022649,Endoplasmic reticulum aminopeptidase 1 (EC 3.4.11.-) (ARTS-1) (Adipocyte-derived leucine aminopeptidase) (A-LAP) (Aminopeptidase PILS) (Puromycin-insensitive leucyl-specific aminopeptidase) (PILS-AP) (VEGF-induced aminopeptidase),adaptive immune response [GO:0002250]; membrane protein ectodomain proteolysis [GO:0006509]; positive regulation of angiogenesis [GO:0045766]; proteolysis [GO:0006508],cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576],aminopeptidase activity [GO:0004177]; interleukin-6 receptor binding [GO:0005138]; metalloexopeptidase activity [GO:0008235]; peptidase activity [GO:0008233]; zinc ion binding [GO:0008270],13,104.89473684210526,36.69017860285652,0.3497809299820742,22.464035924864866,Porites evermanni
OG_00017,gene-Peve_00007289,Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (CD antigen CD249),cell migration [GO:0016477]; cell population proliferation [GO:0008283]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]; regulation of blood pressure [GO:0008217]; regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081],cytoplasm [GO:0005737]; extracellular space [GO:0005615]; plasma membrane [GO:0005886],aminopeptidase activity [GO:0004177]; glutamyl aminopeptidase activity [GO:0004230]; metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270],18,6.304093567251463,3.2895321632228822,0.5218089052978783,0.41661160220567567,Porites evermanni
OG_00018,gene-Peve_00002451,NA,NA,NA,NA,12,33.38377192982456,31.48378696077962,0.9430865699346715,1.1081836424567568,Porites evermanni
OG_00019,gene-Peve_00002445,NA,NA,NA,NA,21,36.08646616541353,48.20059161518475,1.335697194461834,0.743697477727027,Porites evermanni
OG_00021,gene-Peve_00019413,NA,NA,NA,NA,10,7.0473684210526315,5.021357892813387,0.7125153096598532,9.177863084723334,Porites evermanni
OG_00022,gene-Peve_00019412,NA,NA,NA,NA,28,8.706766917293233,7.6139195907297585,0.8744829927176665,0.6064509266837838,Porites evermanni
